dataset,metric,method_a,method_b,seed_ids,n,mean_diff,ci_low,ci_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,wilcoxon_p_holm,dz,wins,losses,ties
facebook,sparsity_macro_f1_auc,cailp_social_multi,cailp_a31,0 1 2 3 4 5 6 7 8 9,10,0.014209337447398173,0.005273107558340106,0.02314556733645624,3.5970151713980685,0.0057751603939051694,1.0,0.00390625,0.015625,1.1374760719798849,9,1,0
facebook,sparsity_macro_f1_auc,cailp_social_multi,original_ilp_gcn,0 1 2 3 4 5 6 7 8 9,10,-0.0028872568722448032,-0.009083718143214143,0.003309204398724537,-1.0540578773804814,0.31933061278794717,22.0,0.625,1.0,-0.3333223678164797,5,5,0
facebook,sparsity_macro_f1_auc,cailp_social_multi,ptdnet,0 1 2 3 4 5 6 7 8 9,10,0.0025707664632827363,-0.0052459416408323295,0.010387474567397803,0.7439804188004171,0.4758626062524878,22.0,0.625,1.0,0.23526726579752738,6,4,0
facebook,sparsity_macro_f1_auc,cailp_social_multi,neuralsparse,0 1 2 3 4 5 6 7 8 9,10,0.017696557125872092,0.011326643587686147,0.024066470664058037,6.284605469158208,0.0001435878876202588,0.0,0.001953125,0.01171875,1.987366747809102,10,0,0
facebook,sparsity_macro_f1_auc,cailp_social_multi,random,0 1 2 3 4 5 6 7 8 9,10,0.006853018023279522,0.0005939305229929687,0.013112105523566075,2.476815319776288,0.03517475269687254,8.0,0.048828125,0.146484375,0.7832377754091356,8,2,0
facebook,sparsity_macro_f1_auc,cailp_social_multi,resistance_style_proxy,0 1 2 3 4 5 6 7 8 9,10,0.02828171723361076,0.022937403801007044,0.03362603066621448,11.971170857517848,7.859257697747087e-07,0.0,0.001953125,0.01171875,3.785616616878743,10,0,0
facebook,macro_f1_at_0.5,cailp_social_multi,cailp_a31,0 1 2 3 4 5 6 7 8 9,10,0.022154961561833532,0.008132890784271438,0.03617703233939563,3.5742227938299265,0.005984576317023881,3.0,0.009765625,,1.1302684893392987,8,2,0
facebook,macro_f1_at_0.5,cailp_social_multi,original_ilp_gcn,0 1 2 3 4 5 6 7 8 9,10,-0.005684409801983636,-0.014077718052623069,0.002708898448655797,-1.5320572015421552,0.15987091232580058,17.0,0.322265625,,-0.4844790262536841,5,5,0
facebook,macro_f1_at_0.5,cailp_social_multi,ptdnet,0 1 2 3 4 5 6 7 8 9,10,0.006363485944101499,-0.004342443347952588,0.017069415236155586,1.3446011940182219,0.2116582819888618,14.0,0.193359375,,0.4252002317679552,6,4,0
facebook,macro_f1_at_0.5,cailp_social_multi,random,0 1 2 3 4 5 6 7 8 9,10,0.010559590870789282,0.0019860058127386636,0.0191331759288399,2.786168675463754,0.021186079916181266,7.0,0.037109375,,0.8810638959879952,8,2,0
github,sparsity_macro_f1_auc,cailp_social_multi,cailp_a31,0 1 2 3 4 5 6 7 8 9,10,0.0032584294635187973,0.0014546327358832365,0.005062226191154358,4.086424727145385,0.0027316114226631077,0.0,0.001953125,0.01171875,1.2922409624611515,10,0,0
github,sparsity_macro_f1_auc,cailp_social_multi,original_ilp_gcn,0 1 2 3 4 5 6 7 8 9,10,-0.0024022783399921697,-0.003959549270317433,-0.0008450074096669061,-3.4896504186638118,0.006833910619544959,1.0,0.00390625,0.015625,-1.1035243560737804,1,9,0
github,sparsity_macro_f1_auc,cailp_social_multi,ptdnet,0 1 2 3 4 5 6 7 8 9,10,-0.002287546795358675,-0.0038773761822964194,-0.0006977174084209304,-3.2549344042834734,0.009918764573334696,2.0,0.005859375,0.017578125,-1.0293006351979097,1,9,0
