dataset,method,method_display,edge_removal_rate_or_AUC,n,mean,std,ci_low,ci_high,seed_ids
lastfm,cailp_social_multi,CILP,0.1,10,0.7920842744984794,0.019344174998730906,0.7782462853224903,0.8059222636744685,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_social_multi,CILP,0.2,10,0.7916484782257092,0.023664129410323552,0.7747201798278325,0.8085767766235858,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_social_multi,CILP,0.3,10,0.7859297936224889,0.04035589600344733,0.7570609247190756,0.8147986625259023,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_social_multi,CILP,0.4,10,0.7610012742377182,0.051916564548457805,0.7238624012527896,0.7981401472226469,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_social_multi,CILP,0.5,10,0.768607195916577,0.06128130653680604,0.7247691900774844,0.8124452017556696,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_social_multi,CILP,0.6,10,0.7432284746469462,0.07044807484591456,0.6928329577923378,0.7936239915015546,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_social_multi,CILP,0.7,10,0.7146988742737221,0.07122174028423371,0.6637499105048876,0.7656478380425566,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_social_multi,CILP,0.8,10,0.6708735974329588,0.06748722205536804,0.6225961470696827,0.719151047796235,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_social_multi,CILP,0.9,10,0.5903019288815511,0.058946774603747504,0.5481339465830222,0.63246991118008,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_social_multi,CILP,AUC,10,0.5927180790046135,0.038303415866165064,0.565317465941809,0.620118692067418,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_a31,Task-only,0.1,10,0.7767811308980949,0.03134525291898318,0.7543580877525491,0.7992041740436406,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_a31,Task-only,0.2,10,0.7654911597711924,0.03964488691417628,0.7371309161300097,0.7938514034123751,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_a31,Task-only,0.3,10,0.7579203726357837,0.062183926389122415,0.7134366714518544,0.802404073819713,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_a31,Task-only,0.4,10,0.7362114911256674,0.07106739956199555,0.6853729360583611,0.7870500461929737,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_a31,Task-only,0.5,10,0.730396664468012,0.08306496963962261,0.6709755647905962,0.7898177641454278,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_a31,Task-only,0.6,10,0.704382791658296,0.08000444395707466,0.6471510601638455,0.7616145231527465,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_a31,Task-only,0.7,10,0.6727326866344012,0.08126390463090821,0.6145999912491033,0.7308653820196992,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_a31,Task-only,0.8,10,0.6231839929434386,0.07654872204645205,0.5684243359829273,0.67794364990395,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_a31,Task-only,0.9,10,0.5665038021499004,0.06640283973181556,0.5190020721705092,0.6140055321292915,0 1 2 3 4 5 6 7 8 9
lastfm,cailp_a31,Task-only,AUC,10,0.5661961625760789,0.050198685570403086,0.5302861861817538,0.6021061389704039,0 1 2 3 4 5 6 7 8 9
lastfm,original_ilp_gcn,ILP-GCN,0.1,10,0.7961060252774657,0.022089608925558273,0.7803040709819858,0.8119079795729455,0 1 2 3 4 5 6 7 8 9
