dataset,method,removal_rate,n_seeds,mean,sd,ci95_low,ci95_high
lastfm,cailp_multi,0.1,10,0.792084,0.019344,0.780095,0.804074
lastfm,cailp_multi,0.2,10,0.791648,0.023664,0.776981,0.806316
lastfm,cailp_multi,0.3,10,0.785930,0.040356,0.760917,0.810943
lastfm,cailp_multi,0.4,10,0.761001,0.051917,0.728823,0.793179
lastfm,cailp_multi,0.5,10,0.768607,0.061281,0.730625,0.806590
lastfm,cailp_multi,0.6,10,0.743228,0.070448,0.699564,0.786893
lastfm,cailp_multi,0.7,10,0.714699,0.071222,0.670555,0.758843
lastfm,cailp_multi,0.8,10,0.670874,0.067487,0.629045,0.712703
lastfm,cailp_multi,0.9,10,0.590302,0.058947,0.553766,0.626838
lastfm,cailp_a31,0.1,10,0.776781,0.031345,0.757353,0.796209
lastfm,cailp_a31,0.2,10,0.765491,0.039645,0.740919,0.790063
lastfm,cailp_a31,0.3,10,0.757920,0.062184,0.719378,0.796462
lastfm,cailp_a31,0.4,10,0.736211,0.071067,0.692163,0.780260
lastfm,cailp_a31,0.5,10,0.730397,0.083065,0.678912,0.781881
lastfm,cailp_a31,0.6,10,0.704383,0.080004,0.654796,0.753970
lastfm,cailp_a31,0.7,10,0.672733,0.081264,0.622365,0.723101
lastfm,cailp_a31,0.8,10,0.623184,0.076549,0.575739,0.670629
lastfm,cailp_a31,0.9,10,0.566504,0.066403,0.525347,0.607661
lastfm,original_ilp,0.1,10,0.796106,0.022090,0.782415,0.809797
lastfm,original_ilp,0.2,10,0.782656,0.057197,0.747204,0.818107
lastfm,original_ilp,0.3,10,0.800885,0.019319,0.788911,0.812859
lastfm,original_ilp,0.4,10,0.791529,0.016056,0.781578,0.801481
lastfm,original_ilp,0.5,10,0.776421,0.022871,0.762245,0.790596
lastfm,original_ilp,0.6,10,0.724539,0.040939,0.699165,0.749914
lastfm,original_ilp,0.7,10,0.702271,0.032352,0.682219,0.722324
lastfm,original_ilp,0.8,10,0.636764,0.029698,0.618357,0.655171
lastfm,original_ilp,0.9,10,0.569609,0.035337,0.547707,0.591511
lastfm,ptdnet,0.1,10,0.790883,0.024433,0.775740,0.806027
lastfm,ptdnet,0.2,10,0.788406,0.025446,0.772635,0.804178
lastfm,ptdnet,0.3,10,0.794616,0.025208,0.778992,0.810240
lastfm,ptdnet,0.4,10,0.788891,0.019082,0.777064,0.800718
lastfm,ptdnet,0.5,10,0.788325,0.012931,0.780311,0.796340
lastfm,ptdnet,0.6,10,0.776235,0.016986,0.765707,0.786763
lastfm,ptdnet,0.7,10,0.759579,0.018411,0.748167,0.770991
lastfm,ptdnet,0.8,10,0.732714,0.019337,0.720729,0.744699
lastfm,ptdnet,0.9,10,0.670033,0.036784,0.647235,0.692832
lastfm,neuralsparse,0.1,10,0.753652,0.018275,0.742324,0.764979
lastfm,neuralsparse,0.2,10,0.708361,0.025907,0.692304,0.724419
lastfm,neuralsparse,0.3,10,0.665279,0.021501,0.651953,0.678606
lastfm,neuralsparse,0.4,10,0.636831,0.012885,0.628845,0.644818
lastfm,neuralsparse,0.5,10,0.601963,0.012765,0.594051,0.609875
lastfm,neuralsparse,0.6,10,0.563492,0.024812,0.548113,0.578870
lastfm,neuralsparse,0.7,10,0.550863,0.021434,0.537578,0.564147
lastfm,neuralsparse,0.8,10,0.534151,0.019384,0.522136,0.546165
lastfm,neuralsparse,0.9,10,0.504832,0.027347,0.487882,0.521781
lastfm,random,0.1,10,0.797328,0.029396,0.779109,0.815548
lastfm,random,0.2,10,0.781674,0.027858,0.764407,0.798940
lastfm,random,0.3,10,0.773116,0.015616,0.763437,0.782794
lastfm,random,0.4,10,0.758608,0.023878,0.743808,0.773408
lastfm,random,0.5,10,0.744914,0.036346,0.722387,0.767442
lastfm,random,0.6,10,0.701937,0.035067,0.680203,0.723672
lastfm,random,0.7,10,0.695717,0.036410,0.673150,0.718284
lastfm,random,0.8,10,0.653137,0.025571,0.637288,0.668986
lastfm,random,0.9,10,0.582905,0.021196,0.569768,0.596042
lastfm,resistance_proxy,0.1,20,0.741072,0.022932,0.731022,0.751123
lastfm,resistance_proxy,0.2,20,0.658210,0.036374,0.642269,0.674152
lastfm,resistance_proxy,0.3,20,0.613197,0.030067,0.600019,0.626374
lastfm,resistance_proxy,0.4,20,0.590373,0.025923,0.579012,0.601734
lastfm,resistance_proxy,0.5,20,0.558454,0.025947,0.547082,0.569825
lastfm,resistance_proxy,0.6,20,0.530280,0.025161,0.519252,0.541307
lastfm,resistance_proxy,0.7,20,0.524494,0.019265,0.516051,0.532937
lastfm,resistance_proxy,0.8,20,0.497416,0.013800,0.491367,0.503464
lastfm,resistance_proxy,0.9,20,0.479794,0.009182,0.475770,0.483818
facebook,cailp_multi,0.1,4,0.929146,0.013545,0.915872,0.942420
facebook,cailp_multi,0.2,4,0.929055,0.013355,0.915967,0.942142
facebook,cailp_multi,0.3,4,0.929355,0.012830,0.916782,0.941928
facebook,cailp_multi,0.4,4,0.927149,0.013149,0.914262,0.940035
facebook,cailp_multi,0.5,4,0.923718,0.014058,0.909942,0.937494
facebook,cailp_multi,0.6,4,0.918267,0.016884,0.901721,0.934813
facebook,cailp_multi,0.7,4,0.911416,0.015546,0.896181,0.926651
facebook,cailp_multi,0.8,4,0.905438,0.016695,0.889077,0.921799
facebook,cailp_multi,0.9,4,0.900219,0.014927,0.885590,0.914848
facebook,cailp_a31,0.1,6,0.917530,0.016452,0.904365,0.930694
facebook,cailp_a31,0.2,6,0.913813,0.019852,0.897928,0.929697
facebook,cailp_a31,0.3,6,0.910748,0.020009,0.894737,0.926759
facebook,cailp_a31,0.4,6,0.908624,0.019420,0.893085,0.924164
facebook,cailp_a31,0.5,6,0.906549,0.020083,0.890480,0.922619
facebook,cailp_a31,0.6,6,0.903344,0.017226,0.889560,0.917127
facebook,cailp_a31,0.7,6,0.902783,0.015251,0.890579,0.914987
facebook,cailp_a31,0.8,6,0.899618,0.013597,0.888739,0.910498
facebook,cailp_a31,0.9,6,0.897247,0.011049,0.888405,0.906088
facebook,original_ilp,0.1,6,0.939480,0.004184,0.936132,0.942828
facebook,original_ilp,0.2,6,0.938927,0.004033,0.935700,0.942154
facebook,original_ilp,0.3,6,0.938155,0.004277,0.934732,0.941577
facebook,original_ilp,0.4,6,0.936124,0.004697,0.932365,0.939882
facebook,original_ilp,0.5,6,0.932467,0.002590,0.930395,0.934540
facebook,original_ilp,0.6,6,0.926199,0.005064,0.922147,0.930251
facebook,original_ilp,0.7,6,0.920100,0.006508,0.914892,0.925307
facebook,original_ilp,0.8,6,0.908455,0.002817,0.906201,0.910709
facebook,original_ilp,0.9,6,0.896047,0.006441,0.890893,0.901201
facebook,ptdnet,0.1,6,0.938533,0.004456,0.934967,0.942098
facebook,ptdnet,0.2,6,0.936020,0.004420,0.932483,0.939557
facebook,ptdnet,0.3,6,0.932046,0.004668,0.928311,0.935781
facebook,ptdnet,0.4,6,0.928073,0.004863,0.924182,0.931964
facebook,ptdnet,0.5,6,0.924473,0.005409,0.920144,0.928801
facebook,ptdnet,0.6,6,0.918374,0.006941,0.912820,0.923928
facebook,ptdnet,0.7,6,0.912041,0.005963,0.907269,0.916812
facebook,ptdnet,0.8,6,0.908575,0.006135,0.903666,0.913484
facebook,ptdnet,0.9,6,0.902495,0.002852,0.900213,0.904778
facebook,neuralsparse,0.1,6,0.928364,0.003358,0.925678,0.931051
facebook,neuralsparse,0.2,6,0.922233,0.002288,0.920402,0.924065
facebook,neuralsparse,0.3,6,0.916290,0.002734,0.914103,0.918477
facebook,neuralsparse,0.4,6,0.906924,0.002536,0.904895,0.908954
facebook,neuralsparse,0.5,6,0.897153,0.003124,0.894653,0.899653
facebook,neuralsparse,0.6,6,0.889684,0.004763,0.885873,0.893496
facebook,neuralsparse,0.7,6,0.888171,0.006205,0.883206,0.893136
facebook,neuralsparse,0.8,6,0.884885,0.006151,0.879963,0.889807
facebook,neuralsparse,0.9,6,0.884681,0.005599,0.880201,0.889161
facebook,random,0.1,6,0.935127,0.004831,0.931261,0.938993
facebook,random,0.2,6,0.932024,0.004838,0.928153,0.935895
facebook,random,0.3,6,0.927475,0.004936,0.923526,0.931424
facebook,random,0.4,6,0.921923,0.006916,0.916389,0.927457
facebook,random,0.5,6,0.916842,0.006364,0.911750,0.921934
facebook,random,0.6,6,0.911759,0.007393,0.905843,0.917675
facebook,random,0.7,6,0.901623,0.007747,0.895425,0.907822
facebook,random,0.8,6,0.895514,0.006379,0.890410,0.900619
facebook,random,0.9,6,0.890644,0.004527,0.887022,0.894267
facebook,resistance_proxy,0.1,12,0.900165,0.005800,0.896883,0.903446
facebook,resistance_proxy,0.2,12,0.889323,0.006465,0.885665,0.892981
facebook,resistance_proxy,0.3,12,0.887958,0.006836,0.884090,0.891826
facebook,resistance_proxy,0.4,12,0.886880,0.006165,0.883392,0.890368
facebook,resistance_proxy,0.5,12,0.885754,0.006715,0.881955,0.889553
facebook,resistance_proxy,0.6,12,0.885724,0.006614,0.881982,0.889466
facebook,resistance_proxy,0.7,12,0.888686,0.007898,0.884218,0.893155
facebook,resistance_proxy,0.8,12,0.889493,0.006603,0.885757,0.893229
facebook,resistance_proxy,0.9,12,0.891964,0.006412,0.888337,0.895592
