dataset,method,seed,edge_removal_rate,test_macro_f1,giant_component_ratio,bridge_preservation,minority_degree_retention,train_seconds
facebook,cailp_a31,0,0.1,0.8997136386617895,0.7090787716955941,0.02455432223343424,0.7953456525593977,2444.039017667
facebook,cailp_a31,0,0.2,0.8861771481015106,0.5433466844681798,0.0010090817356205853,0.6491778771290536,2444.039017667
facebook,cailp_a31,0,0.3,0.8850069184889109,0.48718291054739654,0.0006727211570803902,0.55761263330524,2444.039017667
facebook,cailp_a31,0,0.4,0.8869926839163228,0.4817979528259902,0.0006727211570803902,0.42834021328671174,2444.039017667
facebook,cailp_a31,0,0.5,0.8850930802805457,0.4785046728971963,0.0006727211570803902,0.3951967653294123,2444.039017667
facebook,cailp_a31,0,0.6,0.8882224353253322,0.4712950600801068,0.0006727211570803902,0.33832856978935727,2444.039017667
facebook,cailp_a31,0,0.7,0.8891734820254397,0.4609701824655096,0.0003363605785401951,0.28320817140734034,2444.039017667
facebook,cailp_a31,0,0.8,0.8885438098495144,0.4287939474855363,0.0003363605785401951,0.22918823029554652,2444.039017667
facebook,cailp_a31,0,0.9,0.8874402952920257,0.2820649755229194,0.0003363605785401951,0.14555281023906833,2444.039017667
facebook,cailp_a31,1,0.1,0.9214881653390343,0.8206497552291945,0.43760511268079383,0.9877653931430679,2034.740980833999
facebook,cailp_a31,1,0.2,0.9217087659326,0.8006675567423231,0.4150689539186007,0.9747540000366584,2034.740980833999
facebook,cailp_a31,1,0.3,0.9164680054971834,0.784913217623498,0.40228725193407333,0.9129336825960302,2034.740980833999
facebook,cailp_a31,1,0.4,0.9131387078518984,0.7682688028482421,0.3888328287924655,0.8169665583436688,2034.740980833999
facebook,cailp_a31,1,0.5,0.911394996932833,0.7484201157098354,0.3713420787083754,0.7751812230119688,2034.740980833999
facebook,cailp_a31,1,0.6,0.9052979359788502,0.7176234979973297,0.3504877228388833,0.728087721139249,2034.740980833999
facebook,cailp_a31,1,0.7,0.9046271909194299,0.6640409434801958,0.33198789101917253,0.6750064665102936,2034.740980833999
facebook,cailp_a31,1,0.8,0.8936669783086499,0.5572318647085002,0.30272452068617556,0.6077161860674334,2034.740980833999
facebook,cailp_a31,1,0.9,0.8969476220585947,0.3538050734312417,0.2687521022536159,0.5075737785884696,2034.740980833999
facebook,cailp_a31,2,0.1,0.9346807672413059,1.0,1.0,0.9961806576416954,1362.4714547080002
facebook,cailp_a31,2,0.2,0.9347721234464188,0.9993769470404984,1.0,0.966824176269323,1362.4714547080002
facebook,cailp_a31,2,0.3,0.9348947092126823,0.9993769470404984,1.0,0.8578132585401856,1362.4714547080002
facebook,cailp_a31,2,0.4,0.9356502933455675,0.9987093902981753,1.0,0.805185095619811,1362.4714547080002
facebook,cailp_a31,2,0.5,0.9351470198908035,0.9956386292834891,1.0,0.748511096911335,1362.4714547080002
facebook,cailp_a31,2,0.6,0.9279981562016535,0.9773030707610146,1.0,0.6914810535624125,1362.4714547080002
facebook,cailp_a31,2,0.7,0.9289521274035984,0.9309746328437917,1.0,0.5901087157008972,1362.4714547080002
facebook,cailp_a31,2,0.8,0.925010268913385,0.8132621272808189,0.9979818365287588,0.4413516320669488,1362.4714547080002
facebook,cailp_a31,2,0.9,0.9180595397663525,0.40565198041833556,0.9408005381769257,0.28828974074641445,1362.4714547080002
facebook,cailp_a31,3,0.1,0.9109991290902999,0.7834890965732088,0.39354187689202824,0.8189732760525362,1214.818191208
facebook,cailp_a31,3,0.2,0.9018672332849235,0.6897196261682244,0.3081062899428187,0.5601048430930549,1214.818191208
facebook,cailp_a31,3,0.3,0.8855166905738431,0.5904761904761905,0.24587958291288262,0.3912156789343889,1214.818191208
facebook,cailp_a31,3,0.4,0.879736313795567,0.49523809523809526,0.21459804910864447,0.29019936003949237,1214.818191208
facebook,cailp_a31,3,0.5,0.8831029923612138,0.45927903871829107,0.20484359233097882,0.23653546356814503,1214.818191208
facebook,cailp_a31,3,0.6,0.882513130008283,0.4370271473075211,0.20215270770265725,0.2024210186160371,1214.818191208
facebook,cailp_a31,3,0.7,0.8809497962175379,0.41735647530040054,0.19677093844601412,0.09111211360449142,1214.818191208
facebook,cailp_a31,3,0.8,0.8843916092332017,0.3851357365376057,0.18903464513958965,0.04375970722708451,1214.818191208
facebook,cailp_a31,3,0.9,0.8824172346117858,0.2925678682688028,0.17490750084090145,0.01951708805499996,1214.818191208
facebook,cailp_a31,4,0.1,0.928542475480888,0.9685358255451714,0.9455095862764884,0.8242490422231893,1127.7466088750007
facebook,cailp_a31,4,0.2,0.9197223211073423,0.919537160658656,0.9206189034645139,0.664034140135463,1127.7466088750007
facebook,cailp_a31,4,0.3,0.9149888682004199,0.8261682242990654,0.8990918264379415,0.5342115043187369,1127.7466088750007
facebook,cailp_a31,4,0.4,0.9115236300086405,0.7123720516243881,0.8819374369323916,0.45507506310659596,1127.7466088750007
facebook,cailp_a31,4,0.5,0.9103639491469655,0.6283934134401424,0.8731920618903465,0.39354606658716373,1127.7466088750007
facebook,cailp_a31,4,0.6,0.912084453816291,0.5701824655095683,0.8634376051126808,0.33959087486844797,1127.7466088750007
facebook,cailp_a31,4,0.7,0.9094170402916051,0.5160213618157543,0.8546922300706358,0.2252718676197736,1127.7466088750007
facebook,cailp_a31,4,0.8,0.9054822871091079,0.4508233199821985,0.849983181971073,0.1627718741055329,1127.7466088750007
facebook,cailp_a31,4,0.9,0.9083817277174798,0.3071651090342679,0.8405650857719476,0.13425685243107166,1127.7466088750007
facebook,cailp_a31,5,0.1,0.928711441905063,0.8610146862483311,0.6444668684830138,0.9722941392715551,2441.2323028749997
facebook,cailp_a31,5,0.2,0.9232426569854557,0.7511348464619493,0.48133198789101916,0.922740776633732,2441.2323028749997
facebook,cailp_a31,5,0.3,0.9143406768758982,0.654161103693814,0.38647830474268413,0.8395908486562011,2441.2323028749997
facebook,cailp_a31,5,0.4,0.9031701909265949,0.5501557632398754,0.32593340060544906,0.7244303303619606,2441.2323028749997
facebook,cailp_a31,5,0.5,0.9012879167830382,0.4564307966177125,0.2885973763874874,0.6130567016311644,2441.2323028749997
