ablation,removal_rate,n_seeds,mean,sd
A10_cross_attn,0.3,5,0.740175,0.055814
A10_cross_attn,0.5,5,0.724901,0.068167
A10_cross_attn,0.7,5,0.674572,0.065491
A19_no_mass,0.3,5,0.736886,0.026277
A19_no_mass,0.5,5,0.729129,0.051338
A19_no_mass,0.7,5,0.629784,0.086595
A1_full_core,0.3,5,0.756139,0.053318
A1_full_core,0.5,5,0.717204,0.067296
A1_full_core,0.7,5,0.698234,0.069927
A20_analytical_mass,0.3,5,0.690128,0.066821
A20_analytical_mass,0.5,5,0.654217,0.057495
A20_analytical_mass,0.7,5,0.592785,0.039620
A23_degree_prior,0.3,5,0.738173,0.050416
A23_degree_prior,0.5,5,0.685635,0.099094
A23_degree_prior,0.7,5,0.621044,0.129938
A24_pagerank_prior,0.3,5,0.759151,0.033087
A24_pagerank_prior,0.5,5,0.756327,0.059755
A24_pagerank_prior,0.7,5,0.649829,0.075415
A25_no_adversarial,0.3,5,0.690167,0.101469
A25_no_adversarial,0.5,5,0.669570,0.107332
A25_no_adversarial,0.7,5,0.605385,0.091882
A2_original_ilp,0.3,5,0.765329,0.038724
A2_original_ilp,0.5,5,0.730538,0.024193
A2_original_ilp,0.7,5,0.681985,0.039444
A31_single_obj_concat,0.3,5,0.687406,0.052014
A31_single_obj_concat,0.5,5,0.701488,0.106458
A31_single_obj_concat,0.7,5,0.630303,0.083624
A31_single_obj_gated,0.3,5,0.665427,0.061467
A31_single_obj_gated,0.5,5,0.622822,0.083228
A31_single_obj_gated,0.7,5,0.570858,0.072711
A32_black_hole_mass,0.3,5,0.722874,0.048782
A32_black_hole_mass,0.5,5,0.743733,0.067577
A32_black_hole_mass,0.7,5,0.658822,0.076550
A8_concat,0.3,5,0.709415,0.060717
A8_concat,0.5,5,0.686626,0.089665
A8_concat,0.7,5,0.624220,0.070723
A9_gated,0.3,5,0.720797,0.059002
A9_gated,0.5,5,0.691317,0.081641
A9_gated,0.7,5,0.655294,0.071969
