dataset,method,method_display,n,giant_component_ratio,bridge_preservation,minority_degree_retention
lastfm,cailp_social_multi,CILP,10,0.9280167890870933,0.9044064282011405,0.8909090844297521
lastfm,cailp_a31,Task-only,10,0.7716552990556138,0.6813893208916537,0.6727272678347108
lastfm,original_ilp_gcn,ILP-GCN,10,0.8804171038824764,0.9201140487299119,0.9090909024793389
lastfm,ptdnet,PTDNet,10,0.8223111227701994,0.7588906168999482,0.9136363569917355
lastfm,random,Random,10,0.7836175236096538,0.5011923276308969,0.49999999636363646
facebook,cailp_social_multi,CILP,10,0.9230351579884288,0.8274133871510261,0.6497604573542595
facebook,cailp_a31,Task-only,10,0.6258878504672897,0.4220652539522368,0.4928145780544912
facebook,original_ilp_gcn,ILP-GCN,10,0.966390743213173,0.979347460477632,0.9637072401009984
facebook,ptdnet,PTDNet,10,0.7539830885625278,0.6073662966700303,0.6296316348382578
facebook,random,Random,10,0.8634935469514909,0.501715438950555,0.4996730792111057
github,cailp_social_multi,CILP,10,0.9026870026525199,0.8024422820072505,0.5653168904441532
github,cailp_a31,Task-only,10,0.6742758620689655,0.482923106277428,0.45172011155293357
github,original_ilp_gcn,ILP-GCN,10,0.9254641909814325,0.6853081473001337,0.6656571048682108
github,ptdnet,PTDNet,10,0.9254429708222812,0.6873879030719328,0.7462112160423963
github,random,Random,10,0.873106100795756,0.49965655409273035,0.49897694998418374
