dataset,method,n_seeds,rem_0.1_mean,rem_0.2_mean,rem_0.3_mean,rem_0.4_mean,rem_0.5_mean,rem_0.6_mean,rem_0.7_mean,rem_0.8_mean,rem_0.9_mean,rem_0.1_std,rem_0.2_std,rem_0.3_std,rem_0.4_std,rem_0.5_std,rem_0.6_std,rem_0.7_std,rem_0.8_std,rem_0.9_std,auc_mean,auc_std
facebook,cailp_a31,10,0.9192959817029998,0.9142127206488102,0.9094835069379001,0.9066763070165255,0.9051891650139317,0.903411854533957,0.9018100426470239,0.8995970188081011,0.8977990306240484,0.01624670453398704,0.019354029945640866,0.021733141833165315,0.02205780800093925,0.02201498980011251,0.02020558014784772,0.017971562057536233,0.015136167710062015,0.012093211119175664,0.7248928121769773,0.01491480967032232
facebook,cailp_multi,10,0.9317470479390229,0.9309562663448055,0.9305307397573086,0.9293051891010997,0.9273441265757649,0.9238678339142522,0.918647866776508,0.9120861493096836,0.9048196009896421,0.011132720739309062,0.012017969383864709,0.012153789543914918,0.012234315491309291,0.01282048958594315,0.014179609572138143,0.014143231314683456,0.013726561221037128,0.012390650103418176,0.7391021496243756,0.009954633325802901
facebook,dspar,10,0.8990842587834713,0.8894023910609233,0.8876494682059363,0.8876748889804789,0.8857487668132501,0.8856008567712947,0.8878454332592044,0.8890433970455447,0.8913939847585576,0.005146942732961125,0.005195981972786251,0.005884611501244589,0.0056099548807283925,0.006613701317695708,0.006164087956493311,0.007320163634862866,0.007145413845241393,0.00615492247526268,0.7108204323907648,0.004695660102692182
facebook,effective_resistance,10,0.8990842587834713,0.8894023910609233,0.8876494682059363,0.8876748889804789,0.8857487668132501,0.8856008567712947,0.8878454332592044,0.8890433970455447,0.8913939847585576,0.005146942732961125,0.005195981972786251,0.005884611501244589,0.0056099548807283925,0.006613701317695708,0.006164087956493311,0.007320163634862866,0.007145413845241393,0.00615492247526268,0.7108204323907648,0.004695660102692182
facebook,neuralsparse,10,0.9294965995219482,0.9235928899194439,0.91693061401311,0.906085731791651,0.8976054125132489,0.8908070611989993,0.8880853721871098,0.8841181152682307,0.8841648566645336,0.00505606082455443,0.004318795210958926,0.005132411942423403,0.0033333070492480125,0.00458536631928006,0.0055204900507334976,0.005903508040187923,0.0052462335607735555,0.00653030893336111,0.7214055924985034,0.0032634294458444547
facebook,original_ilp,10,0.939087982769999,0.939129812130137,0.9380278089451004,0.9358784645077582,0.9330285363777484,0.927372574730582,0.9199577074818214,0.9086683985685511,0.8965735416790084,0.003720138839508579,0.003898417175617714,0.003948929305203579,0.0039687490328847155,0.002309489810507058,0.004538042751260857,0.005630712499496714,0.002847838813451142,0.006013950397075103,0.7419894064966203,0.002842542552294964
facebook,ptdnet,10,0.938593616023766,0.935582930385492,0.9312655933175563,0.9255663125766811,0.9209806406316636,0.915073637827686,0.9108837317314782,0.9057184562896765,0.9018914416776219,0.00470219762434938,0.005015983314539512,0.005299357387830686,0.006927696347877367,0.007272200962275151,0.00743977156977623,0.0060965557956916576,0.006817040512265043,0.006179821139519464,0.7365313831610927,0.004401160403461562
facebook,random,10,0.9351687794785587,0.9324993800300488,0.9278300815927653,0.9221608940359367,0.9167845357049759,0.9106938579205268,0.9025138849570997,0.8968648292328956,0.8911189255948642,0.0047578770474256404,0.004752939260762762,0.004899907462103259,0.006002240704047116,0.005709468874065597,0.006382837290951075,0.006273718193657939,0.005143858742945563,0.004329861722577294,0.732249131601096,0.003992148797472789
lastfm,cailp_a31,10,0.7767811308980949,0.7654911597711924,0.7579203726357837,0.7362114911256674,0.730396664468012,0.704382791658296,0.6727326866344012,0.6231839929434386,0.5665038021499004,0.03134525291898318,0.03964488691417628,0.062183926389122415,0.07106739956199555,0.08306496963962261,0.08000444395707466,0.08126390463090821,0.07654872204645205,0.06640283973181556,0.5661961625760789,0.050198685570403086
lastfm,cailp_multi,10,0.7920842744984794,0.7916484782257092,0.7859297936224889,0.7610012742377182,0.768607195916577,0.7432284746469462,0.7146988742737221,0.6708735974329588,0.5903019288815511,0.019344174998730906,0.023664129410323552,0.04035589600344733,0.051916564548457805,0.06128130653680604,0.07044807484591456,0.07122174028423371,0.06748722205536804,0.058946774603747504,0.5927180790046135,0.038303415866165064
lastfm,dspar,10,0.7410723730866684,0.6582101526373874,0.6131966021020385,0.5903729259298214,0.5584536412017742,0.5302798910167098,0.5244937733973678,0.4974156209111899,0.4797941737448891,0.023560542826091723,0.037370327874281996,0.030891065395264206,0.026633337421647862,0.026658032659510684,0.025850888615634372,0.019792717430583723,0.014178307596499495,0.009433921948787035,0.45828558806120673,0.014186974756887984
lastfm,effective_resistance,10,0.7410723730866684,0.6582101526373874,0.6131966021020385,0.5903729259298214,0.5584536412017742,0.5302798910167098,0.5244937733973678,0.4974156209111899,0.4797941737448891,0.023560542826091723,0.037370327874281996,0.030891065395264206,0.026633337421647862,0.026658032659510684,0.025850888615634372,0.019792717430583723,0.014178307596499495,0.009433921948787035,0.45828558806120673,0.014186974756887984
lastfm,neuralsparse,10,0.7536517267424587,0.7083614322030087,0.6652794666786778,0.6368312623141349,0.6019628331666586,0.5634918987935039,0.5508626468663957,0.534150709794108,0.5048315136413797,0.018275493122969316,0.02590680270592085,0.021501497693557237,0.012885087436373201,0.0127651399533807,0.024811627556643713,0.021433612870486056,0.01938390713977202,0.027346802790902514,0.48901818700084065,0.009753619903771993
lastfm,original_ilp,10,0.7961060252774657,0.7826556742433067,0.8008853725202716,0.7915292375559203,0.7764208262108838,0.7245392124062765,0.7022714267923907,0.6367641056993145,0.5696087671705824,0.022089608925558273,0.057197208849926386,0.019318938574107897,0.016055843482240092,0.02287096701581504,0.04093938936251115,0.03235219214491198,0.029698320131702503,0.03533708088891846,0.5897923251652388,0.01651796316152656
lastfm,ptdnet,10,0.7908830698439493,0.788406074130359,0.7946158532509469,0.7888911671987128,0.7883250952898277,0.7762352513378985,0.7595790177881124,0.7327138107414835,0.6700333185506211,0.02443263936823504,0.025445945884687318,0.02520829857582756,0.01908171624432777,0.012930731368628852,0.016985902889799086,0.018411453624117113,0.019336868717560286,0.03678371680227349,0.6159224463934626,0.011469619487765658
lastfm,random,10,0.797328483190826,0.7816737740009313,0.7731156540943755,0.7586078768593423,0.7449142394499032,0.7019374053545032,0.6957173807849436,0.6531368219784395,0.5829051795988466,0.02939564831038646,0.02785754220839028,0.01561556886575829,0.023878265232377908,0.03634583031856863,0.035066972950081224,0.036409757613990214,0.025570616741789853,0.02119554347636233,0.5799219983917276,0.01776534553710537
