dataset,method,seed,mae,spearman,kendall,top_k_precision,top_k_recall,calibration_ece,teacher_n
facebook,cailp_multi_teacher20,0,0.06993530355639838,0.691265844174404,0.6100988924743,1.0,1.0,0.07097028357872251,20
facebook,cailp_multi_teacher40,0,0.13203050088745663,0.6538970018722678,0.5419467627971346,1.0,1.0,0.15263455590536418,40
facebook,cailp_multi_teacher80,0,0.08043240612876021,0.5852366305132215,0.4664258338690617,0.84,0.84,0.09561248469332335,80
facebook,cailp_multi_teacher120,0,0.10394194550945385,0.4773295571824709,0.3889477533248643,0.62,0.62,0.11010087804475692,120
facebook,cailp_a31,0,0.09940569546344347,-0.13262148401492443,-0.10254010721439437,0.34,0.34,0.06725002335385966,120
facebook,cailp_multi,0,0.17026396034346755,0.5012626140978979,0.43738858344316667,0.7,0.7,0.15856124860457577,120
facebook,cailp_a31,1,0.1871037361943146,0.04821802058635493,0.03246456414978297,0.42,0.42,0.21895186573533496,120
facebook,cailp_multi,1,0.08172154642498716,0.7760465319339718,0.6134230610583858,0.74,0.74,0.1016700877075834,120
facebook,cailp_a31,2,0.25153677786862183,0.0469974232339135,0.03317037355722937,0.46,0.46,0.2684804729275491,120
facebook,cailp_multi,2,0.11342998022629246,0.6595647516206266,0.5310035693192269,0.74,0.74,0.06731329051988662,120
facebook,cailp_a31,3,0.26052759329446507,0.04799436299890392,0.031160206362707655,0.42,0.42,0.2408372165821065,120
facebook,cailp_multi,3,0.09044116319271801,0.5797162720551294,0.44939860324804326,0.64,0.64,0.10136001620632668,120
facebook,cailp_a31,4,0.05031130323233605,0.12433855178110237,0.07482874596160932,0.5,0.5,0.08987354425381253,120
facebook,cailp_multi,4,0.05638725315214891,0.7414359346320346,0.6046659620794943,0.68,0.68,0.05485282694582822,120
facebook,cailp_a31,5,0.16193454771973367,0.11569559596887738,0.07595705076907949,0.48,0.48,0.13294400030781195,120
facebook,cailp_multi,5,0.10268483564320115,0.6347590148798171,0.5180612328652903,0.72,0.72,0.12526420491672188,120
facebook,cailp_a31,6,0.19689602441062704,0.22257273037912353,0.1460079263597237,0.54,0.54,0.20621344166192485,120
facebook,cailp_multi,6,0.12781007990644583,0.6207785032890016,0.48966336225797824,0.66,0.66,0.1038668425132507,120
facebook,cailp_a31,7,0.05492568684065883,0.2597720736491662,0.1845396175302727,0.58,0.58,0.06111478569104254,120
facebook,cailp_multi,7,0.1302716062824323,0.6700431665529339,0.5526308340095152,0.72,0.72,0.06258215928024649,120
facebook,cailp_a31,8,0.20089987409851337,0.2336036941507896,0.15761506720700807,0.5,0.5,0.21190331482919392,120
facebook,cailp_multi,8,0.11445156352684363,0.6120961063818593,0.4785313688133675,0.7,0.7,0.14061840455003266,120
facebook,cailp_a31,9,0.17611077817625562,0.07589686788545277,0.04914730695519088,0.46,0.46,0.2532782260856261,120
facebook,cailp_multi,9,0.07343941178922507,0.7175330767947519,0.5721094607279892,0.76,0.76,0.05137762924578915,120
lastfm,cailp_a31,0,0.12424804225302992,0.3219500573147812,0.22941573387056174,1.0,1.0,0.1301985096279419,50
lastfm,cailp_multi,0,0.07338436112992196,0.8372830082367322,0.6957942597210359,1.0,1.0,0.09112064541336358,50
lastfm,cailp_a31,1,0.08449769856290398,0.32599351897824325,0.22740333848465055,1.0,1.0,0.13262343078572608,50
lastfm,cailp_multi,1,0.07194541324459772,0.7929411764705883,0.670204081632653,1.0,1.0,0.043978220267309256,50
lastfm,cailp_a31,2,0.09957597095225473,0.4106714095069305,0.2937815727075822,1.0,1.0,0.19201295727809525,50
lastfm,cailp_multi,2,0.07669504383540698,0.7694117647058825,0.6440816326530613,1.0,1.0,0.04187352460176156,50
lastfm,cailp_a31,3,0.12222118239635055,0.2817692854142394,0.2143153765574764,1.0,1.0,0.20379455852158604,50
lastfm,cailp_multi,3,0.04918103984422992,0.815369860208224,0.6947647777959255,1.0,1.0,0.06446172229898432,50
lastfm,cailp_a31,4,0.13248153623546075,0.07163448679829884,0.0549637502959348,1.0,1.0,0.14959308936735397,50
lastfm,cailp_multi,4,0.05530018758168853,0.7555932024753597,0.6094571490506331,1.0,1.0,0.049819781454807414,50
lastfm,cailp_a31,5,0.1440338345812317,0.4123340073733987,0.2940228717812867,1.0,1.0,0.11407065247012188,50
lastfm,cailp_multi,5,0.08429098025104004,0.8581652504913018,0.6816714486501837,1.0,1.0,0.11424976485956626,50
lastfm,cailp_a31,6,0.12398394919873874,0.2837315424460019,0.19378603180945395,1.0,1.0,0.12518184448492822,50
lastfm,cailp_multi,6,0.11333824315510753,0.5127010804321729,0.36653061224489797,1.0,1.0,0.06744188206259084,50
lastfm,cailp_a31,7,0.0808252021875776,0.20350135971116343,0.12694551012190952,1.0,1.0,0.16463273979820775,50
lastfm,cailp_multi,7,0.06814477834107074,0.7713030327080977,0.6141282667960316,1.0,1.0,0.1565822434019481,50
